ticker,code,name,lot_size,stock_type,stock_child_type,listing_date,last_trade_time,last_price,open_price,high_price,low_price,prev_close_price,volume,turnover,amplitude,turnover_rate,market_val,pe_ratio,pb_ratio,update_time,retrieved_at_utc
IHI,US.IHI,iShares安硕美国医药设备ETF,1,ETF,N/A,1970-01-01,,51.74,52.17,52.47,51.7,52.3,823298.0,42849929.509,1.472,1.213,,nan,nan,2026-09-23 14:03:25,2026-09-24T02:03:56+08:00
INTC,US.INTC,英特尔,1,STOCK,N/A,1971-10-21,,120.62,124.19,124.25,119.44,123.86,55243049.0,6677656361.756,3.883,1.148,,-2010.333,7.238,2026-09-23 14:03:56,2026-09-24T02:03:56+08:00
IONL,US.IONL,2倍做多IONQ ETF-GraniteShares,1,ETF,N/A,2025-03-25,,14.46,16.47,16.5881,13.77,13.17,2566158.0,38543157.19,21.398,46.071,,nan,nan,2026-09-23 14:03:56,2026-09-24T02:03:56+08:00
ITA,US.ITA,iShares安硕美国航空航天与国防ETF,1,ETF,N/A,1970-01-01,,214.845,213.81,216.9299,213.35,214.0,422211.0,90901210.162,1.673,0.721,,nan,nan,2026-09-23 14:03:49,2026-09-24T02:03:56+08:00
IWO,US.IWO,罗素2000成长股指数ETF-iShares,1,ETF,N/A,1970-01-01,,360.77,366.53,366.53,359.48,367.92,221199.0,79962401.868,1.916,0.564,,nan,nan,2026-09-23 14:03:15,2026-09-24T02:03:56+08:00
IXC,US.IXC,iShares安硕全球能源ETF,1,ETF,N/A,1970-01-01,,57.87,57.57,58.2144,57.46,57.26,548373.0,31747663.606,1.317,1.085,,nan,nan,2026-09-23 14:01:34,2026-09-24T02:03:56+08:00
IYE,US.IYE,iShares安硕美国能源ETF,1,ETF,N/A,1970-01-01,,65.825,65.6,66.395,65.49,65.14,1258800.0,82992995.048,1.389,4.946,,nan,nan,2026-09-23 14:03:57,2026-09-24T02:03:56+08:00
IYM,US.IYM,基础材料ETF-iShares,1,ETF,N/A,1970-01-01,,184.3,183.43,184.37,182.56,185.35,321758.0,59674906.514,0.977,5.363,,nan,nan,2026-09-23 14:02:52,2026-09-24T02:03:56+08:00
KOD,US.KOD,Kodiak Sciences,1,STOCK,N/A,2018-10-04,,31.28,34.1,34.4775,30.8,33.8,624065.0,19638712.56,10.88,1.572,,-7.24,32.181,2026-09-23 14:03:29,2026-09-24T02:03:56+08:00
KSTR,US.KSTR,中国科技半导体科创50指数ETF-KraneShares,1,ETF,N/A,1970-01-01,,24.08,24.245,24.21,23.97,24.64,401251.0,9664184.703,0.974,2.367,,nan,nan,2026-09-23 14:03:11,2026-09-24T02:03:56+08:00
LIFE,US.LIFE,Ethos Technologies,1,STOCK,N/A,2026-01-29,,33.51,36.2,37.4897,33.07,36.19,858446.0,29457494.761,12.212,3.045,,29.602,4.487,2026-09-23 14:03:55,2026-09-24T02:03:56+08:00
